Plot,Subplot,Date,Exposure,Openness
CTE,A1-1,3-Nov-17,EV-2,0.490031025
CTE,A1-1,3-Nov-17,EV-4,0.400787496
CTE,A1-1,3-Nov-17,EV0,0.784008536
CTE,A1-13,3-Nov-17,EV-2,0.630592742
CTE,A1-13,3-Nov-17,EV-4,0.579110814
CTE,A1-13,3-Nov-17,EV0,0.779926746
CTE,A1-16,3-Nov-17,EV-2,0.363749661
CTE,A1-16,3-Nov-17,EV-4,0.266652055
CTE,A1-16,3-Nov-17,EV0,0.553594474
CTE,A1-4,3-Nov-17,EV-2,0.680677382
CTE,A1-4,3-Nov-17,EV-4,0.628443043
CTE,A1-4,3-Nov-17,EV0,0.813679393
CTE,A1-m,3-Nov-17,EV-2,0.649064877
CTE,A1-m,3-Nov-17,EV-4,0.594318989
CTE,A1-m,3-Nov-17,EV0,0.787183533
CTE,A1-s1,3-Nov-17,EV-2,0.637463313
CTE,A1-s1,3-Nov-17,EV-4,0.576036772
CTE,A1-s1,3-Nov-17,EV0,0.816251745
CTE,A1-s2,3-Nov-17,EV-2,0.561187704
CTE,A1-s2,3-Nov-17,EV-4,0.51084407
CTE,A1-s2,3-Nov-17,EV0,0.67888077
CTE,A1-s3,3-Nov-17,EV-2,0.642440494
CTE,A1-s3,3-Nov-17,EV-4,0.564129757
CTE,A1-s3,3-Nov-17,EV0,0.806097481
CTE,A1-s4,3-Nov-17,EV-2,0.506247202
CTE,A1-s4,3-Nov-17,EV-4,0.435485129
CTE,A1-s4,3-Nov-17,EV0,0.695295368
CTE,A1-s5,3-Nov-17,EV-2,0.538136597
CTE,A1-s5,3-Nov-17,EV-4,0.458970829
CTE,A1-s5,3-Nov-17,EV0,0.720485497
CTE,A2-1,6-Nov-17,EV-2,0.473805184
CTE,A2-1,6-Nov-17,EV-4,0.390690426
CTE,A2-1,6-Nov-17,EV0,0.691929951
CTE,A2-13,6-Nov-17,EV-2,0.482263911
CTE,A2-13,6-Nov-17,EV-4,0.373474112
CTE,A2-13,6-Nov-17,EV0,0.791530054
CTE,A2-16,6-Nov-17,EV-2,0.643313626
CTE,A2-16,6-Nov-17,EV-4,0.563773646
CTE,A2-16,6-Nov-17,EV0,0.869006716
CTE,A2-4,6-Nov-17,EV-2,0.548874299
CTE,A2-4,6-Nov-17,EV-4,0.480175909
CTE,A2-4,6-Nov-17,EV0,0.719721184
CTE,A2-m,6-Nov-17,EV-2,0.339531848
CTE,A2-m,6-Nov-17,EV-4,0.265761016
CTE,A2-m,6-Nov-17,EV0,0.636487241
CTE,A2-s1,6-Nov-17,EV-2,0.497266132
CTE,A2-s1,6-Nov-17,EV-4,0.426892224
CTE,A2-s1,6-Nov-17,EV0,0.696875215
CTE,A2-s2,6-Nov-17,EV-2,0.648144252
CTE,A2-s2,6-Nov-17,EV-4,0.615135517
CTE,A2-s2,6-Nov-17,EV0,0.765782117
CTE,A2-s3,6-Nov-17,EV-2,0.475243315
CTE,A2-s3,6-Nov-17,EV-4,0.42049364
CTE,A2-s3,6-Nov-17,EV0,0.663607529
CTE,A2-s4,6-Nov-17,EV-2,0.610795343
CTE,A2-s4,6-Nov-17,EV-4,0.567517119
CTE,A2-s4,6-Nov-17,EV0,0.748496181
CTE,A2-s5,6-Nov-17,EV-2,0.442911234
CTE,A2-s5,6-Nov-17,EV-4,0.384237562
CTE,A2-s5,6-Nov-17,EV0,0.62921423
CTE,A3-1,8-Nov-17,EV-2,0.521170249
CTE,A3-1,8-Nov-17,EV-4,0.441526584
CTE,A3-1,8-Nov-17,EV0,0.767920973
CTE,A3-13,8-Nov-17,EV-2,0.39216445
CTE,A3-13,8-Nov-17,EV-4,0.337010132
CTE,A3-13,8-Nov-17,EV0,0.58840492
CTE,A3-16,8-Nov-17,EV-2,0.498244128
CTE,A3-16,8-Nov-17,EV-4,0.431555722
CTE,A3-16,8-Nov-17,EV0,0.690219456
CTE,A3-4,8-Nov-17,EV-2,0.536625381
CTE,A3-4,8-Nov-17,EV-4,0.441331768
CTE,A3-4,8-Nov-17,EV0,0.742235518
CTE,A3-m,8-Nov-17,EV-2,0.548757995
CTE,A3-m,8-Nov-17,EV-4,0.458993175
CTE,A3-m,8-Nov-17,EV0,0.85816
CTE,A3-s1,8-Nov-17,EV-2,0.540896665
CTE,A3-s1,8-Nov-17,EV-4,0.468170071
CTE,A3-s1,8-Nov-17,EV0,0.748908704
CTE,A3-s2,8-Nov-17,EV-2,0.441385108
CTE,A3-s2,8-Nov-17,EV-4,0.368536193
CTE,A3-s2,8-Nov-17,EV0,0.591543821
CTE,A3-s3,8-Nov-17,EV-2,0.412069708
CTE,A3-s3,8-Nov-17,EV-4,0.355478471
CTE,A3-s3,8-Nov-17,EV0,0.70165433
CTE,A3-s4,8-Nov-17,EV-2,0.442929829
CTE,A3-s4,8-Nov-17,EV-4,0.355482668
CTE,A3-s4,8-Nov-17,EV0,0.666716792
CTE,A3-s5,8-Nov-17,EV-2,0.406348856
CTE,A3-s5,8-Nov-17,EV-4,0.347230074
CTE,A3-s5,8-Nov-17,EV0,0.748296984
CTE,A4-1,13-Nov-17,EV-2,0.566265233
CTE,A4-1,13-Nov-17,EV-4,0.490229311
CTE,A4-1,13-Nov-17,EV0,0.715817396
CTE,A4-13,13-Nov-17,EV-2,0.71884077
CTE,A4-13,13-Nov-17,EV-4,0.684924232
CTE,A4-13,13-Nov-17,EV0,0.817774321
CTE,A4-16,13-Nov-17,EV-2,0.658963016
CTE,A4-16,13-Nov-17,EV-4,0.612224108
CTE,A4-16,13-Nov-17,EV0,0.791228086
CTE,A4-4,13-Nov-17,EV-2,0.507918866
CTE,A4-4,13-Nov-17,EV-4,0.460892393
CTE,A4-4,13-Nov-17,EV0,0.608330977
CTE,A4-m,13-Nov-17,EV-2,0.51646691
CTE,A4-m,13-Nov-17,EV-4,0.44260669
CTE,A4-m,13-Nov-17,EV0,0.698512086
CTE,A4-s1,13-Nov-17,EV-2,0.580898808
CTE,A4-s1,13-Nov-17,EV-4,0.51857393
CTE,A4-s1,13-Nov-17,EV0,0.717053248
CTE,A4-s2,13-Nov-17,EV-2,0.386956612
CTE,A4-s2,13-Nov-17,EV-4,0.315591215
CTE,A4-s2,13-Nov-17,EV0,0.500966936
CTE,A4-s3,13-Nov-17,EV-2,0.585462017
CTE,A4-s3,13-Nov-17,EV-4,0.527068453
CTE,A4-s3,13-Nov-17,EV0,0.767820747
CTE,A4-s4,13-Nov-17,EV-2,0.542964045
CTE,A4-s4,13-Nov-17,EV-4,0.492069671
CTE,A4-s4,13-Nov-17,EV0,0.679059864
CTE,A4-s5,13-Nov-17,EV-2,0.628359161
CTE,A4-s5,13-Nov-17,EV-4,0.584906993
CTE,A4-s5,13-Nov-17,EV0,0.74369544
CTE,B1-1,24-Oct-17,EV-2,0.680798923
CTE,B1-1,24-Oct-17,EV-4,0.616115001
CTE,B1-1,24-Oct-17,EV0,0.828793388
CTE,B1-13,24-Oct-17,EV-2,0.472477074
CTE,B1-13,24-Oct-17,EV-4,0.410806434
CTE,B1-13,24-Oct-17,EV0,0.654638813
CTE,B1-16,24-Oct-17,EV-2,0.632011203
CTE,B1-16,24-Oct-17,EV-4,0.564789314
CTE,B1-16,24-Oct-17,EV0,0.802332014
CTE,B1-4,24-Oct-17,EV-2,0.481728381
CTE,B1-4,24-Oct-17,EV-4,0.383136925
CTE,B1-4,24-Oct-17,EV0,0.642814659
CTE,B1-m,28-Nov-17,EV-2,0.434952193
CTE,B1-m,28-Nov-17,EV-4,0.376841989
CTE,B1-m,28-Nov-17,EV0,0.555659169
CTE,B1-s1,28-Nov-17,EV-2,0.308747595
CTE,B1-s1,28-Nov-17,EV-4,0.243092299
CTE,B1-s1,28-Nov-17,EV0,0.435152177
CTE,B1-s2,24-Oct-17,EV-2,0.624361548
CTE,B1-s2,24-Oct-17,EV-4,0.559338302
CTE,B1-s2,24-Oct-17,EV0,0.767055668
CTE,B1-s3,24-Oct-17,EV-2,0.428457315
CTE,B1-s3,24-Oct-17,EV-4,0.341877006
CTE,B1-s3,24-Oct-17,EV0,0.584952167
CTE,B1-s4,24-Oct-17,EV-2,0.657454011
CTE,B1-s4,24-Oct-17,EV-4,0.580008852
CTE,B1-s4,24-Oct-17,EV0,0.802601062
CTE,B1-s5,24-Oct-17,EV-2,0.673326296
CTE,B1-s5,24-Oct-17,EV-4,0.624029072
CTE,B1-s5,24-Oct-17,EV0,0.788961137
CTE,B2-1,25-Oct-17,EV-2,0.619609954
CTE,B2-1,25-Oct-17,EV-4,0.576130128
CTE,B2-1,25-Oct-17,EV0,0.734951185
CTE,B2-13,25-Oct-17,EV-2,0.366304907
CTE,B2-13,25-Oct-17,EV-4,0.313230692
CTE,B2-13,25-Oct-17,EV0,0.519581408
CTE,B2-16,25-Oct-17,EV-2,0.559565334
CTE,B2-16,25-Oct-17,EV-4,0.46199463
CTE,B2-16,25-Oct-17,EV0,0.72717662
CTE,B2-4,25-Oct-17,EV-2,0.394401122
CTE,B2-4,25-Oct-17,EV-4,0.303031847
CTE,B2-4,25-Oct-17,EV0,0.613420822
CTE,B2-m,28-Nov-17,EV-2,0.458743318
CTE,B2-m,28-Nov-17,EV-4,0.423127746
CTE,B2-m,28-Nov-17,EV0,0.539406318
CTE,B2-S1,25-Oct-17,EV-2,0.405200449
CTE,B2-S1,25-Oct-17,EV-4,0.602156605
CTE,B2-S1,25-Oct-17,EV0,0.461253924
CTE,B2-S2,14-Nov-17,EV-2,0.580287383
CTE,B2-S2,14-Nov-17,EV-4,0.537157241
CTE,B2-S2,14-Nov-17,EV0,0.709231146
CTE,B2-S3,14-Nov-17,EV-2,0.395888237
CTE,B2-S3,14-Nov-17,EV-4,0.348334894
CTE,B2-S3,14-Nov-17,EV0,0.50881027
CTE,B2-S4,25-Oct-17,EV-2,0.572612794
CTE,B2-S4,25-Oct-17,EV-4,0.6935957
CTE,B2-S4,25-Oct-17,EV0,0.610551739
CTE,B2-S5,25-Oct-17,EV-2,0.220907603
CTE,B2-S5,25-Oct-17,EV-4,0.376227682
CTE,B2-S5,25-Oct-17,EV0,0.263196985
CTE,B3-1,26-Oct-17,EV-2,0.423186373
CTE,B3-1,26-Oct-17,EV-4,0.263636186
CTE,B3-1,26-Oct-17,EV0,0.213381955
CTE,B3-13,26-Oct-17,EV-2,0.742959721
CTE,B3-13,26-Oct-17,EV-4,0.533981006
CTE,B3-13,26-Oct-17,EV0,0.398627205
CTE,B3-16,26-Oct-17,EV-4,0.39589644
CTE,B3-16,26-Oct-17,EV-2,0.516443057
CTE,B3-16,26-Oct-17,EV0,0.822777655
CTE,B3-3,26-Oct-17,EV-2,0.776561162
CTE,B3-3,26-Oct-17,EV-4,0.487929018
CTE,B3-3,26-Oct-17,EV0,0.359325123
CTE,B3-m,8-Dec-17,EV-2,0.422965831
CTE,B3-m,8-Dec-17,EV-4,0.374675628
CTE,B3-m,8-Dec-17,EV0,0.517255854
CTE,B3-S1,26-Oct-17,EV-2,0.553957279
CTE,B3-S1,26-Oct-17,EV-4,0.498569301
CTE,B3-S1,26-Oct-17,EV0,0.701873291
CTE,B3-S2,26-Oct-17,EV-2,0.4994498
CTE,B3-S2,26-Oct-17,EV-4,0.405357961
CTE,B3-S2,26-Oct-17,EV0,0.669216471
CTE,B3-S3,26-Oct-17,EV-2,0.371825218
CTE,B3-S3,26-Oct-17,EV-4,0.299012686
CTE,B3-S3,26-Oct-17,EV0,0.543810191
CTE,B3-S4,26-Oct-17,EV-2,0.2339366
CTE,B3-S4,26-Oct-17,EV-4,0.182331563
CTE,B3-S4,26-Oct-17,EV0,0.359711183
CTE,B3-S5,26-Oct-17,EV-2,0.484248373
CTE,B3-S5,26-Oct-17,EV-4,0.385435293
CTE,B3-S5,26-Oct-17,EV0,0.667157059
CTE,B4-1,27-Oct-17,EV-2,0.388783617
CTE,B4-1,27-Oct-17,EV-4,0.337137377
CTE,B4-1,27-Oct-17,EV0,0.553181891
CTE,B4-13,27-Oct-17,EV-2,0.665060009
CTE,B4-13,27-Oct-17,EV-4,0.611353221
CTE,B4-13,27-Oct-17,EV0,0.798168205
CTE,B4-16,27-Oct-17,EV-2,0.24932098
CTE,B4-16,27-Oct-17,EV-4,0.18276076
CTE,B4-16,27-Oct-17,EV0,0.449375537
CTE,B4-4,27-Oct-17,EV-4,0.233643288
CTE,B4-4,27-Oct-17,EV0,0.551597204
CTE,B4-4,27-Oct-17,EV-2,0.307985537
CTE,B4-M,27-Oct-17,EV-2,0.247017605
CTE,B4-M,27-Oct-17,EV-4,0.172264112
CTE,B4-M,27-Oct-17,EV0,0.378561133
CTE,B4-S1,27-Oct-17,EV-2,0.443678874
CTE,B4-S1,27-Oct-17,EV-4,0.404406753
CTE,B4-S1,27-Oct-17,EV0,0.54778788
CTE,B4-S2,27-Oct-17,EV-2,0.355040527
CTE,B4-S2,27-Oct-17,EV-4,0.268885778
CTE,B4-S2,27-Oct-17,EV0,0.543735345
CTE,B4-S3,27-Oct-17,EV-2,0.280403773
CTE,B4-S3,27-Oct-17,EV-4,0.206573353
CTE,B4-S3,27-Oct-17,EV0,0.461421685
CTE,B4-S4,27-Oct-17,EV-2,0.24925305
CTE,B4-S4,27-Oct-17,EV-4,0.166867863
CTE,B4-S4,27-Oct-17,EV0,0.445828281
CTE,B4-S5,27-Oct-17,EV-2,0.416745989
CTE,B4-S5,27-Oct-17,EV-4,0.347473956
CTE,B4-S5,27-Oct-17,EV0,0.539913554
CTE,C1-1,30-Oct-17,EV-2,0.564066742
CTE,C1-1,30-Oct-17,EV-4,0.512188826
CTE,C1-1,30-Oct-17,EV0,0.720289625
CTE,C1-13,30-Oct-17,EV-2,0.543121292
CTE,C1-13,30-Oct-17,EV-4,0.487088881
CTE,C1-13,30-Oct-17,EV0,0.736434203
CTE,C1-16,30-Oct-17,EV-2,0.560437946
CTE,C1-16,30-Oct-17,EV-4,0.491372042
CTE,C1-16,30-Oct-17,EV0,0.714943032
CTE,C1-4,30-Oct-17,EV-2,0.403699714
CTE,C1-4,30-Oct-17,EV-4,0.299576919
CTE,C1-4,30-Oct-17,EV0,0.620659452
CTE,C1-m,30-Oct-17,EV-2,0.527400726
CTE,C1-m,30-Oct-17,EV-4,0.43365074
CTE,C1-m,30-Oct-17,EV0,0.705036886
CTE,C1-s1,30-Oct-17,EV-2,0.669993931
CTE,C1-s1,30-Oct-17,EV-4,0.600899281
CTE,C1-s1,30-Oct-17,EV0,0.824511538
CTE,C1-s2,30-Oct-17,EV-2,0.480233809
CTE,C1-s2,30-Oct-17,EV-4,0.360082341
CTE,C1-s2,30-Oct-17,EV0,0.762908053
CTE,C1-s3,30-Oct-17,EV-2,0.656029125
CTE,C1-s3,30-Oct-17,EV-4,0.558816806
CTE,C1-s3,30-Oct-17,EV0,0.83592405
CTE,C1-s4,30-Oct-17,EV-2,0.504166002
CTE,C1-s4,30-Oct-17,EV-4,0.407126584
CTE,C1-s4,30-Oct-17,EV0,0.734832381
CTE,C1-s5,30-Oct-17,EV-2,0.549442992
CTE,C1-s5,30-Oct-17,EV-4,0.481576078
CTE,C1-s5,30-Oct-17,EV0,0.735740249
CTE,C2-1,1-Nov-17,EV-2,0.38229243
CTE,C2-1,1-Nov-17,EV-4,0.313315167
CTE,C2-1,1-Nov-17,EV0,0.597417977
CTE,C2-13,31-Oct-17,EV-2,0.746619008
CTE,C2-13,31-Oct-17,EV-4,0.718083469
CTE,C2-13,31-Oct-17,EV0,0.829042926
CTE,C2-16,31-Oct-17,EV-2,0.522288345
CTE,C2-16,31-Oct-17,EV-4,0.406390248
CTE,C2-16,31-Oct-17,EV0,0.781044653
CTE,C2-4,31-Oct-17,EV-2,0.435537222
CTE,C2-4,31-Oct-17,EV-4,0.368619786
CTE,C2-4,31-Oct-17,EV0,0.614878148
CTE,C2-m,1-Nov-17,EV-2,0.328856478
CTE,C2-m,1-Nov-17,EV-4,0.278264406
CTE,C2-m,1-Nov-17,EV0,0.481289358
CTE,C2-s1,31-Oct-17,EV-2,0.541664965
CTE,C2-s1,31-Oct-17,EV-4,0.453782905
CTE,C2-s1,31-Oct-17,EV0,0.766137357
CTE,C2-s2,31-Oct-17,EV-2,0.527526984
CTE,C2-s2,31-Oct-17,EV-4,0.468480788
CTE,C2-s2,31-Oct-17,EV0,0.723937325
CTE,C2-s3,31-Oct-17,EV-2,0.459248061
CTE,C2-s3,31-Oct-17,EV-4,0.390253587
CTE,C2-s3,31-Oct-17,EV0,0.696700338
CTE,C2-s4,31-Oct-17,EV-2,0.684026484
CTE,C2-s4,31-Oct-17,EV-4,0.638892017
CTE,C2-s4,31-Oct-17,EV0,0.769955378
CTE,C2-s5,31-Oct-17,EV-2,0.4610428
CTE,C2-s5,31-Oct-17,EV-4,0.40774482
CTE,C2-s5,31-Oct-17,EV0,0.623207514
CTE,C3-1,2-Nov-17,EV-2,0.691304537
CTE,C3-1,2-Nov-17,EV-4,0.622454083
CTE,C3-1,2-Nov-17,EV0,0.860208932
CTE,C3-13,2-Nov-17,EV-2,0.674080256
CTE,C3-13,2-Nov-17,EV-4,0.623644536
CTE,C3-13,2-Nov-17,EV0,0.794380273
CTE,C3-16,2-Nov-17,EV-2,0.418939729
CTE,C3-16,2-Nov-17,EV-4,0.341696036
CTE,C3-16,2-Nov-17,EV0,0.606656751
CTE,C3-4,2-Nov-17,EV-2,0.585447248
CTE,C3-4,2-Nov-17,EV-4,0.548813452
CTE,C3-4,2-Nov-17,EV0,0.729688863
CTE,C3-m,2-Nov-17,EV-2,0.462695904
CTE,C3-m,2-Nov-17,EV-4,0.384270787
CTE,C3-m,2-Nov-17,EV0,0.655919475
CTE,C3-s1,2-Nov-17,EV-2,0.458306404
CTE,C3-s1,2-Nov-17,EV-4,0.368182721
CTE,C3-s1,2-Nov-17,EV0,0.658831111
CTE,C3-s2,2-Nov-17,EV-2,0.477032334
CTE,C3-s2,2-Nov-17,EV-4,0.413370431
CTE,C3-s2,2-Nov-17,EV0,0.637530325
CTE,C3-s3,2-Nov-17,EV-2,0.464019931
CTE,C3-s3,2-Nov-17,EV-4,0.346125414
CTE,C3-s3,2-Nov-17,EV0,0.696542851
CTE,C3-s4,2-Nov-17,EV-2,0.589842824
CTE,C3-s4,2-Nov-17,EV-4,0.536648733
CTE,C3-s4,2-Nov-17,EV0,0.72353885
CTE,C3-s5,2-Nov-17,EV-2,0.336302073
CTE,C3-s5,2-Nov-17,EV-4,0.285319093
CTE,C3-s5,2-Nov-17,EV0,0.481465233
CTE,C4-1,1-Nov-17,EV-2,0.71411119
CTE,C4-1,1-Nov-17,EV-4,0.66622383
CTE,C4-1,1-Nov-17,EV0,0.861063771
CTE,C4-13,1-Nov-17,EV-2,0.696211376
CTE,C4-13,1-Nov-17,EV-4,0.603613945
CTE,C4-13,1-Nov-17,EV0,0.827164173
CTE,C4-16,1-Nov-17,EV-2,0.764250979
CTE,C4-16,1-Nov-17,EV-4,0.699066295
CTE,C4-16,1-Nov-17,EV0,0.886108979
CTE,C4-4,1-Nov-17,EV-2,0.546459487
CTE,C4-4,1-Nov-17,EV-4,0.466750991
CTE,C4-4,1-Nov-17,EV0,0.686681974
CTE,C4-m,1-Nov-17,EV-2,0.688397386
CTE,C4-m,1-Nov-17,EV-4,0.648186453
CTE,C4-m,1-Nov-17,EV0,0.807667393
CTE,C4-s1,1-Nov-17,EV-2,0.638098278
CTE,C4-s1,1-Nov-17,EV-4,0.565003001
CTE,C4-s1,1-Nov-17,EV0,0.787088696
CTE,C4-s2,1-Nov-17,EV-2,0.675978165
CTE,C4-s2,1-Nov-17,EV-4,0.580194694
CTE,C4-s2,1-Nov-17,EV0,0.88885425
CTE,C4-s3,1-Nov-17,EV-2,0.622982408
CTE,C4-s3,1-Nov-17,EV-4,0.549736644
CTE,C4-s3,1-Nov-17,EV0,0.763666519
CTE,C4-s4,1-Nov-17,EV-2,0.668568235
CTE,C4-s4,1-Nov-17,EV-4,0.600941571
CTE,C4-s4,1-Nov-17,EV0,0.789420977
CTE,C4-s5,1-Nov-17,EV-2,0.569944078
CTE,C4-s5,1-Nov-17,EV-4,0.515720373
CTE,C4-s5,1-Nov-17,EV0,0.705331844
